time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
670,0.000691372,0.000281306,3.46924e-06,5.32939e-07,7.43063e-08,1.02097e-06,5.99642e-08,3.11529e-10,0.000977836
671,6.88644e-05,8.589e-06,1.53145e-08,1.28937e-09,2.41097e-10,1.28256e-09,9.9563e-11,4.12149e-14,7.74717e-05
672,0.000136679,3.19021e-05,3.93692e-07,4.81227e-08,5.98936e-09,2.14988e-08,1.02756e-09,4.03343e-12,0.000169052
673,0.000140275,3.14867e-05,2.60678e-06,2.00039e-07,2.26733e-08,1.01354e-07,3.84724e-09,1.63832e-12,0.000174697
674,0.00050871,0.000146731,2.38389e-06,3.3941e-07,5.66683e-08,3.45713e-07,2.43791e-08,5.60252e-11,0.000658592
675,0.000192997,4.70601e-05,7.08921e-07,4.54021e-08,5.3834e-09,1.59633e-08,6.59999e-10,6.74475e-13,0.000240833
676,0.000158725,2.49204e-05,1.0878e-07,5.68207e-09,3.12361e-10,6.13653e-10,1.66e-11,6.0106e-15,0.000183761
677,0.000219,3.9957e-05,5.53872e-07,2.278e-08,2.56805e-09,1.92621e-08,8.41919e-10,4.19091e-13,0.000259557
678,0.000325487,6.28917e-05,3.25045e-08,9.71299e-09,1.13143e-09,6.92478e-09,2.73984e-10,1.19769e-12,0.000388429
679,0.000136831,3.74846e-05,1.09501e-07,8.90536e-09,1.2367e-09,6.16324e-09,3.59427e-10,3.41291e-13,0.000174442
680,7.66312e-05,1.50096e-05,2.17794e-07,9.95503e-09,7.0716e-10,1.36386e-09,7.93687e-11,2.60032e-14,9.18706e-05
681,9.90693e-05,9.12136e-06,7.48566e-11,8.81587e-12,7.76463e-13,7.94827e-12,2.58271e-13,1.41119e-15,0.000108191
682,0.000210852,5.51054e-05,1.2467e-06,7.94397e-08,9.48172e-09,5.84696e-08,2.61176e-09,1.34365e-12,0.000267354
683,9.33208e-05,1.48133e-05,4.42448e-08,2.75664e-09,2.94858e-10,1.09743e-09,4.0392e-11,3.52826e-14,0.000108183
684,0.000201273,4.67734e-05,2.72488e-06,2.69506e-07,4.02433e-08,3.47987e-07,2.07595e-08,1.10804e-11,0.00025145
685,0.000247725,6.55966e-05,3.18389e-06,2.24226e-07,2.26143e-08,9.25896e-08,3.4089e-09,3.05837e-12,0.000316849
686,7.62639e-05,1.99237e-05,1.42163e-06,1.07494e-07,1.69002e-08,8.40652e-08,4.93454e-09,1.83132e-12,9.78226e-05
687,0.0012276,0.000632921,4.42099e-05,6.39946e-06,9.45616e-07,1.92077e-06,9.65815e-08,2.90467e-10,0.00191409
688,0.00019944,5.08922e-05,1.56586e-07,1.47988e-08,2.21903e-09,6.89177e-09,3.69896e-10,3.09633e-13,0.000250514
689,0.000128674,2.07528e-05,9.69787e-08,3.69141e-09,3.96153e-10,1.6722e-09,7.33657e-11,4.40055e-14,0.00014953
690,0.000261955,0.000112369,1.05296e-05,1.04403e-06,1.41513e-07,6.6719e-07,3.26265e-08,3.04122e-11,0.000386739
691,0.000202129,5.32951e-05,1.40387e-05,7.49401e-06,1.37205e-06,5.06226e-06,3.23164e-07,1.68073e-09,0.000283716
692,0.000539311,0.00018827,1.07751e-05,1.08753e-06,1.02344e-07,1.95618e-06,7.58449e-08,1.45713e-10,0.000741578
693,0.000214771,7.08738e-05,9.1993e-07,1.79659e-07,2.98767e-08,2.15981e-07,1.3532e-08,3.3702e-11,0.000287004
694,0.000182184,4.15813e-05,8.26056e-07,4.31621e-08,3.89544e-09,2.83373e-08,9.28649e-10,3.10113e-13,0.000224668
695,8.47208e-05,1.77923e-05,6.14085e-07,3.39155e-08,2.85803e-09,9.63988e-09,2.79255e-10,1.77538e-13,0.000103174
696,8.13606e-05,1.42706e-05,1.87864e-08,1.22116e-09,1.59596e-10,2.19659e-09,1.15845e-10,1.21412e-13,9.56537e-05
697,0.000135259,3.02182e-05,1.17545e-06,7.73876e-08,8.93868e-09,5.7876e-08,2.56154e-09,1.37317e-12,0.000166799
698,6.49618e-05,6.76039e-06,3.32446e-09,8.63958e-11,9.78185e-12,4.40449e-11,1.9341e-12,6.34071e-16,7.17256e-05
699,0.000219579,3.5259e-05,1.63723e-08,1.09901e-09,1.16044e-10,1.38022e-09,5.78013e-11,3.59454e-14,0.000254857
700,0.000186181,4.9621e-05,6.61543e-07,4.75309e-08,7.74661e-09,5.747e-08,3.70113e-09,7.5419e-13,0.00023658
701,8.92657e-05,2.2659e-05,3.80459e-07,8.97912e-08,1.32818e-08,6.81588e-08,3.91365e-09,2.57763e-11,0.00011248
702,0.000172879,3.25154e-05,3.15523e-08,1.39323e-09,1.76253e-10,1.37415e-09,6.73197e-11,1.60529e-14,0.000205429
703,0.000255604,7.99232e-05,1.46124e-06,6.336e-08,8.93562e-09,5.60932e-08,3.10539e-09,1.23518e-12,0.00033712
704,7.79688e-05,1.45624e-05,1.16453e-07,6.7711e-09,8.31179e-10,3.53138e-09,1.52766e-10,3.99391e-14,9.26589e-05
705,0.000101124,2.48782e-05,8.57948e-09,4.77226e-10,6.20904e-11,2.61443e-10,1.20455e-11,1.08314e-14,0.000126011
706,6.9001e-05,1.03335e-05,3.21196e-09,1.37799e-10,1.14428e-11,1.71286e-10,5.48613e-12,1.22923e-15,7.93381e-05
707,0.000156976,5.61542e-05,2.36114e-06,1.32311e-07,7.77236e-09,1.59983e-07,4.0441e-09,3.96834e-12,0.000215795
708,6.08626e-05,1.12177e-05,9.19103e-08,3.31003e-09,2.4091e-10,8.14462e-10,2.07741e-11,6.1247e-15,7.21766e-05
