run_index,seed,rt60,c50,runtime_ms,t30_raw,t20,curvature,nonlinearity
81,82,0.333806,7.1166,7192.4,0.333806,0.331729,0.626089,2.42796
82,83,0.329995,6.83533,7200.38,0.329995,0.335052,-1.50921,1.11111
83,84,0.374267,7.31043,7180.16,0.374267,0.330573,13.2176,7.1595
84,85,0.33891,7.1522,7182.25,0.33891,0.347593,-2.4982,1.19086
85,86,0.335228,7.22434,7181.63,0.335228,0.34655,-3.26695,2.29879
86,87,0.338537,6.94429,7171.05,0.338537,0.332628,1.77658,0.773588
87,88,0.334203,7.07834,7192.29,0.334203,0.348558,-4.11819,1.86031
88,89,0.331562,7.15569,7179.68,0.331562,0.32805,1.07048,0.594027
89,90,0.349384,6.76763,7065.57,0.349384,0.337575,3.49808,1.27997
90,91,0.336564,6.96359,7173.51,0.336564,0.317718,5.93185,2.19026
91,92,0.342734,6.7706,7187.14,0.342734,0.331875,3.27209,1.70178
92,93,0.347187,7.21134,7173.92,0.347187,0.334512,3.78929,3.60258
93,94,0.323425,7.06503,7169.62,0.323425,0.326492,-0.939169,1.11357
94,95,0.326158,7.12553,7168.22,0.326158,0.321098,1.57606,1.13191
95,96,0.318098,6.9421,7172.12,0.318098,0.318117,-0.00580399,0.587404
96,97,0.340792,7.30447,7194.02,0.340792,0.337746,0.901725,2.05581
97,98,0.334508,7.13299,7168.92,0.334508,0.340245,-1.68634,1.46938
98,99,0.339171,6.67498,7138.73,0.339171,0.325671,4.14543,1.85114
99,100,0.33296,7.19222,7133.95,0.33296,0.32781,1.57114,1.48767
