run_index,seed,rt60,c50,runtime_ms,t30_raw,t20,curvature,nonlinearity
68,69,0.344803,7.80539,14260.2,0.344803,0.332674,3.6458,1.8214
69,70,0.376047,6.77603,14261.7,0.376047,0.328217,14.5727,12.2338
70,71,0.360129,7.39766,14296.4,0.360129,0.347251,3.7086,3.15894
71,72,0.346339,7.91068,14301.7,0.346339,0.330624,4.75321,2.02208
72,73,0.358261,7.07046,14306.9,0.358261,0.330261,8.47821,4.13731
73,74,0.340655,7.00471,14335,0.340655,0.330355,3.11793,2.25847
74,75,0.369566,7.05054,14349,0.369566,0.329304,12.2263,6.84923
75,76,0.33867,6.5856,14305.2,0.33867,0.310609,9.03437,4.44907
76,77,0.320841,7.51617,14313.1,0.320841,0.333972,-3.93194,4.84567
77,78,0.32224,7.00458,14318.2,0.32224,0.350629,-8.09665,4.47225
78,79,0.34491,6.72638,14348.2,0.34491,0.337034,2.33702,1.32118
79,80,0.352829,7.62569,14342.1,0.352829,0.341973,3.17426,3.89233
80,81,0.320724,6.57015,14339.6,0.320724,0.319688,0.324101,0.987554
81,82,0.321214,7.18296,14334.6,0.321214,0.304848,5.36839,2.5109
82,83,0.338538,7.17805,14337.6,0.338538,0.332959,1.67572,1.44617
83,84,0.311871,6.72139,14323.8,0.311871,0.331293,-5.86271,3.2658
84,85,0.323617,7.13671,14353.8,0.323617,0.315029,2.72604,2.17376
85,86,0.334496,7.49077,14385.7,0.334496,0.318798,4.9241,1.93453
86,87,0.331507,6.9693,14401.2,0.331507,0.335722,-1.25548,1.24139
87,88,0.3267,7.20291,14421.5,0.3267,0.328493,-0.54594,1.76381
88,89,0.326979,6.76944,14418.7,0.326979,0.324394,0.796789,1.25058
89,90,0.335804,7.67929,14523.5,0.335804,0.31812,5.55872,3.67453
90,91,0.339177,6.61202,14525.1,0.339177,0.331853,2.20718,3.00522
91,92,0.328857,6.64731,14454.5,0.328857,0.336515,-2.27577,4.97331
92,93,0.318868,7.07559,14448.8,0.318868,0.314437,1.40913,1.22951
93,94,0.329527,7.292,14440.2,0.329527,0.321669,2.4428,2.04621
94,95,0.393474,7.6303,14447.1,0.393474,0.325397,20.9211,25.8824
95,96,0.335727,7.15627,14460.8,0.335727,0.340275,-1.33664,2.97117
96,97,0.311007,7.05364,14446.1,0.311007,0.299355,3.89234,2.22953
97,98,0.369636,7.6305,14456.3,0.369636,0.324705,13.8374,10.1756
98,99,0.378481,7.32746,14452.1,0.378481,0.337297,12.21,9.78932
99,100,0.312898,6.60738,14431.4,0.312898,0.329883,-5.14869,2.88739
